"","V1","ac","district","date","address","offense","year","num.month","num.week"
"919","C THEFT 3D ALL OTHER 200 W RIVERSIDE AVE 7/5/2019 P8","C","P8",2019-07-05,"200 W RIVERSIDE AVE","THEFT 3D ALL OTHER","2019","07","26"
"920","C THEFT 3D FROM BUILDING 0 W 2ND AVE 7/3/2019 P8","C","P8",2019-07-03,"0 W 2ND AVE","THEFT 3D FROM BUILDING","2019","07","26"
"921","C THEFT 3D FROM BUILDING 400 W MAIN AVE 7/3/2019 P8","C","P8",2019-07-03,"400 W MAIN AVE","THEFT 3D FROM BUILDING","2019","07","26"
"922","C THEFT 3D FROM BUILDING 900 W 1ST AVE 7/4/2019 P8","C","P8",2019-07-04,"900 W 1ST AVE","THEFT 3D FROM BUILDING","2019","07","26"
"923","C THEFT 3D FROM MOTOR VEHICLE 300 W SPOKANE FALLS BLVD 7/1/2019 P8","C","P8",2019-07-01,"300 W SPOKANE FALLS","THEFT 3D FROM MOTOR VEHICLE","2019","07","26"
"924","C THEFT OF MOTOR VEHICLE W MAIN AVE / N WASHINGTON ST 7/6/2019 P8","C","P8",2019-07-06,"W MAIN AVE / N WASHINGTON ST","THEFT OF MOTOR VEHICLE","2019","07","26"
"925","C THEFT 3D SHOPLIFTING 15100 E INDIANA AVE 7/6/2019 Oth","C","OTH",2019-07-06,"15100 E INDIANA AVE","THEFT 3D SHOPLIFTING","2019","07","26"
"926","C THEFT OF MOTOR VEHICLE 9107 N COUNTRY HOMES BLVD 7/12/2019 P1","C","P1",2019-07-12,"9107 N COUNTRY HOMES","THEFT OF MOTOR VEHICLE","2019","07","27"
"927",NA,NA,NA,NA,NA,NA,NA,NA,NA
"928","C ARSON 1D W WOODSIDE AVE / N FIVE MILE RD 7/11/2019 P1","C","P1",2019-07-11,"W WOODSIDE AVE / N FIVE MILE","ARSON 1D","2019","07","27"
