X,Y,OBJECTID,Offense,OffGen,BeginDate,EndDate,Location,Day
-117.405722581210156,47.688509017356076,12636,BURGLARY-GARAGE,Burglary,2015-07-24T13:40:00.000Z,2015-07-24T13:40:00.000Z,300 Block Of E Bridgeport Av,Saturday
-117.462903168719237,47.689471739681878,12637,VEH-PROWL,Vehicle Prowling,2015-07-23T21:00:00.000Z,2015-07-24T14:00:00.000Z,3400 Block Of N Wellington Pl,Friday
-117.396799895432864,47.675762186121709,12638,THEFT-SHOPLIFTING,Theft,2015-07-24T13:30:00.000Z,2015-07-24T13:30:00.000Z,2000 Block Of N Hamilton St,Saturday
-117.398250855834547,47.727364260310985,12639,THEFT-FROM BUILDING,Theft,2015-04-25T16:48:00.000Z,2015-07-24T16:48:00.000Z,800 Block Of E Calkins Dr,Monday
-117.431077206068352,47.693558328871489,12640,VEH-THEFT,Vehicle Theft,2015-07-24T09:53:00.000Z,2015-07-24T09:53:00.000Z,3900 Block Of N Hawthorne St,Saturday
-117.406140902546085,47.712590999128714,12641,THEFT-FROM BUILDING,Theft,2015-07-22T17:25:00.000Z,2015-07-24T17:25:00.000Z,6000 Block Of N Lidgerwood St,Thursday
-117.41098969638918,47.700719906022002,12642,THEFT-SHOPLIFTING,Theft,2015-07-24T17:45:00.000Z,2015-07-24T17:45:00.000Z,4700 Block Of N Division St,Saturday
-117.410560450165534,47.67997735377277,12643,VEH-PROWL,Vehicle Prowling,2015-07-24T14:30:00.000Z,2015-07-24T16:30:00.000Z,2400 Block Of N Division St,Saturday
-117.425004764340301,47.648852549999567,12644,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-21T12:00:00.000Z,2015-07-24T18:30:00.000Z,900 Block Of W Lincoln Pl,Wednesday
-117.425004764340301,47.648852549999567,12645,VEH-THEFT AUTO PARTS,Vehicle Theft,2015-07-21T12:00:00.000Z,2015-07-24T18:30:00.000Z,900 Block Of W Lincoln Pl,Wednesday
-117.425004764340301,47.648852549999567,12646,VEH-THEFT,Vehicle Theft,2015-07-21T12:00:00.000Z,2015-07-24T18:30:00.000Z,900 Block Of W Lincoln Pl,Wednesday
-117.480608525387822,47.700391608822763,12647,VEH-PROWL,Vehicle Prowling,2015-07-24T01:00:00.000Z,2015-07-24T01:15:00.000Z,4800 Block Of W Hoffman Pl,Saturday
-117.426387212370017,47.687232790064186,12648,THEFT-SHOPLIFTING,Theft,2015-07-24T17:20:00.000Z,2015-07-24T17:20:00.000Z,3200 Block Of N Monroe St,Saturday
-117.459891462705997,47.705427435739132,12649,THEFT-OPEN AREA,Theft,2015-07-23T05:30:00.000Z,2015-07-23T11:00:00.000Z,5200 Block Of N Fairmount Pl,Friday
-117.395037901964997,47.622523169367078,12650,THEFT-FROM BUILDING,Theft,2015-07-08T20:44:00.000Z,2015-07-24T20:44:00.000Z,1000 Block Of E 35Th Av,Thursday
-117.410988592639583,47.700983315861919,12651,THEFT-SHOPLIFTING,Theft,2015-07-24T15:10:00.000Z,2015-07-24T15:10:00.000Z,4700 Block Of N Division St,Saturday
-117.395037901964997,47.622523169367078,12652,THEFT-FROM BUILDING,Theft,2015-03-27T20:50:00.000Z,2015-03-27T20:50:00.000Z,1000 Block Of E 35Th Av,Monday
-117.428282890334756,47.655037246437047,12653,ASSAULT-SIMPLE,Assault,2015-07-24T19:54:00.000Z,2015-07-24T19:54:00.000Z,200 Block Of S Madison St,Saturday
-117.431423007520081,47.671220184872105,12654,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-24T20:25:00.000Z,2015-07-24T20:25:00.000Z,1300 Block Of W Maxwell Av,Saturday
-117.438715621688772,47.650456028947403,12655,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-23T20:30:00.000Z,2015-07-24T07:00:00.000Z,1800 Block Of W 6Th Av,Friday
-117.395315742641529,47.734770217576234,12656,VEH-PROWL,Vehicle Prowling,2015-07-21T12:00:00.000Z,2015-07-24T21:30:00.000Z,8400 Block Of N Nevada St,Wednesday
-117.397965861355601,47.750467398756292,12657,THEFT-SHOPLIFTING,Theft,2015-07-24T21:10:00.000Z,2015-07-24T21:10:00.000Z,10100 Block Of N Newport Hy ,Saturday
-117.4284276709041,47.674025751171811,12658,THEFT-OPEN AREA,Theft,2015-07-24T18:00:00.000Z,2015-07-24T18:00:00.000Z,1100 Block Of W Nora Av,Saturday
-117.383553835054045,47.643643697897303,12659,VEH-PROWL,Vehicle Prowling,2015-07-23T15:00:00.000Z,2015-07-24T21:00:00.000Z,1800 Block Of E 13Th Av,Friday
-117.436553243681004,47.645265424564847,12660,ASSAULT-SIMPLE,Assault,2015-07-24T22:20:00.000Z,2015-07-24T22:20:00.000Z,1100 Block Of S Ash St,Saturday
-117.391010520176863,47.695370455391888,12661,ASSAULT-WEAPON,Assault,2015-07-25T00:03:00.000Z,2015-07-25T00:03:00.000Z,1300 Block Of E Lacrosse Av,Sunday
-117.418017827849752,47.657224173313494,12662,ASSAULT-SIMPLE,Assault,2015-07-25T02:23:00.000Z,2015-07-25T02:23:00.000Z,400 Block Of W Sprague Av,Sunday
-117.370800546697595,47.703292573761864,12663,DRUGS-POSSESS,Drugs,2015-07-25T04:13:00.000Z,2015-07-25T04:13:00.000Z,5000 Block Of N Lacey St,Sunday
-117.352100626846706,47.631011606397152,12664,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-24T00:00:00.000Z,2015-07-24T07:00:00.000Z,4000 Block Of E 26Th Av,Saturday
-117.352100626846706,47.631011606397152,12665,VEH-THEFT PLATES/TABS,Vehicle Theft,2015-07-24T00:00:00.000Z,2015-07-24T07:00:00.000Z,4000 Block Of E 26Th Av,Saturday
-117.375096630501275,47.640206409264472,12666,THEFT-FROM BUILDING,Theft,2015-07-24T08:00:00.000Z,2015-07-24T15:00:00.000Z,2400 Block Of E 17Th Av,Saturday
-117.405859916833549,47.741352723100775,12667,THEFT-SHOPLIFTING,Theft,2015-07-25T08:13:00.000Z,2015-07-25T08:13:00.000Z,9200 Block Of N Colton St,Sunday
-117.453809794364929,47.67020469155235,12668,VEH-PROWL,Vehicle Prowling,2015-07-24T23:00:00.000Z,2015-07-25T08:00:00.000Z,1400 Block Of N A St,Saturday
-117.453809794364929,47.67020469155235,12669,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-24T23:00:00.000Z,2015-07-25T08:00:00.000Z,1400 Block Of N A St,Saturday
-117.390769669596082,47.70219081301417,12670,THEFT-FROM BUILDING,Theft,2015-07-25T02:00:00.000Z,2015-07-25T03:00:00.000Z,1300 Block Of E Wabash Av,Sunday
